domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,30,10,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0006,0.0048,0.0961,0.0961,0.0961,0.0006,0.0006,0.0006,0.0006,0.0048,0.0130,0.0130,0.0006",1.0
block-words,p02,50,10,1,9,0,5,"2,0,0,0,0,0,0,5,5,0,0,0,6,6,6,6,4,4,4,5","0.0147,0.1085,0.1085,0.1085,0.1085,0.1085,0.1085,0.0007,0.0007,0.1085,0.1085,0.1085,0.0003,0.0003,0.0003,0.0003,0.0020,0.0020,0.0020,0.0007",1.0
block-words,p02,70,10,9,3,0,7,"5,1,1,1,1,1,4,6,6,0,0,0,6,6,6,6,6,7,5,6","0.0014,0.0752,0.0752,0.0752,0.0752,0.0752,0.0037,0.0005,0.0005,0.2044,0.2044,0.2044,0.0005,0.0005,0.0005,0.0005,0.0005,0.0002,0.0014,0.0005",1.0
block-words,p02,100,10,10,2,1,10,"12,6,6,6,6,6,10,12,8,4,0,0,8,12,12,8,6,10,10,10","0.0000,0.0012,0.0012,0.0012,0.0012,0.0012,0.0000,0.0000,0.0002,0.0090,0.4915,0.4915,0.0002,0.0000,0.0000,0.0002,0.0012,0.0000,0.0000,0.0000",1.0
block-words,p02,10,11,0,10,0,2,"0,0,0,0,0,0,0,2,2,0,0,0,4,4,4,4,2,2,2,2","0.0919,0.0919,0.0919,0.0919,0.0919,0.0919,0.0919,0.0124,0.0124,0.0919,0.0919,0.0919,0.0017,0.0017,0.0017,0.0017,0.0124,0.0124,0.0124,0.0124",1.0
block-words,p02,30,11,1,9,0,4,"2,0,0,0,0,0,0,4,4,0,0,0,6,6,6,6,4,4,4,4","0.0146,0.1080,0.1080,0.1080,0.1080,0.1080,0.1080,0.0020,0.0020,0.1080,0.1080,0.1080,0.0003,0.0003,0.0003,0.0003,0.0020,0.0020,0.0020,0.0020",1.0
block-words,p02,50,11,1,9,0,6,"4,0,0,0,0,0,0,6,6,0,0,0,6,6,6,6,6,6,4,6","0.0020,0.1104,0.1104,0.1104,0.1104,0.1104,0.1104,0.0003,0.0003,0.1104,0.1104,0.1104,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0020,0.0003",1.0
block-words,p02,70,11,10,2,0,9,"10,4,4,5,4,5,7,9,8,1,0,0,8,9,9,8,6,9,9,8","0.0000,0.0075,0.0075,0.0028,0.0075,0.0028,0.0004,0.0001,0.0001,0.1507,0.4096,0.4096,0.0001,0.0001,0.0001,0.0001,0.0010,0.0001,0.0001,0.0001",1.0
block-words,p02,100,11,11,1,1,12,"16,10,9,8,6,8,12,14,11,6,3,0,14,14,14,14,9,12,12,14","0.0000,0.0000,0.0001,0.0003,0.0023,0.0003,0.0000,0.0000,0.0000,0.0023,0.0472,0.9472,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000",1.0
block-words,p02,10,12,4,11,0,1,"1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0","0.0257,0.0257,0.0257,0.0257,0.0699,0.0699,0.0257,0.0699,0.0257,0.0257,0.0257,0.0699,0.0699,0.0699,0.0699,0.0699,0.0257,0.0699,0.0699,0.0699",1.0
block-words,p02,30,12,12,4,1,3,"3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,2,1,1,2","0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0221,0.0221,0.0221,0.0221,0.0221,0.0221,0.1635,0.1635,0.1635,0.1635,0.0221,0.0601,0.0601,0.0221",1.0
block-words,p02,50,12,12,4,1,4,"4,4,4,4,5,5,4,4,4,4,4,4,0,0,0,0,4,4,4,4","0.0043,0.0043,0.0043,0.0043,0.0016,0.0016,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.2342,0.2342,0.2342,0.2342,0.0043,0.0043,0.0043,0.0043",1.0
block-words,p02,70,12,12,2,1,6,"8,6,6,6,8,8,8,8,4,8,4,4,0,4,4,0,4,6,6,6","0.0002,0.0012,0.0012,0.0012,0.0002,0.0002,0.0002,0.0002,0.0086,0.0002,0.0086,0.0086,0.4702,0.0086,0.0086,0.4702,0.0086,0.0012,0.0012,0.0012",1.0
block-words,p02,100,12,12,1,1,8,"12,6,9,8,12,10,12,12,12,10,7,8,0,6,6,3,12,8,8,10","0.0000,0.0023,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0003,0.9436,0.0023,0.0023,0.0470,0.0000,0.0003,0.0003,0.0000",1.0
block-words,p02,10,13,4,11,0,1,"1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0","0.0257,0.0257,0.0257,0.0257,0.0699,0.0699,0.0257,0.0699,0.0257,0.0257,0.0257,0.0699,0.0699,0.0699,0.0699,0.0699,0.0257,0.0699,0.0699,0.0699",1.0
block-words,p02,30,13,12,6,0,2,"2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,2","0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.1267,0.1267,0.1267,0.1267,0.0171,0.1267,0.1267,0.0171",1.0
block-words,p02,50,13,12,4,0,3,"3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,2,1,1,2","0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0221,0.0221,0.0221,0.0221,0.0221,0.0221,0.1635,0.1635,0.1635,0.1635,0.0221,0.0601,0.0601,0.0221",1.0
block-words,p02,70,13,13,1,1,5,"4,4,4,4,6,6,4,5,5,4,4,4,1,0,1,1,4,4,4,5","0.0079,0.0079,0.0079,0.0079,0.0011,0.0011,0.0079,0.0029,0.0029,0.0079,0.0079,0.0079,0.1579,0.4291,0.1579,0.1579,0.0079,0.0079,0.0079,0.0029",1.0
block-words,p02,100,13,13,1,1,6,"4,4,4,4,6,6,6,8,8,4,4,4,4,0,4,4,6,4,4,8","0.0149,0.0149,0.0149,0.0149,0.0020,0.0020,0.0020,0.0003,0.0003,0.0149,0.0149,0.0149,0.0149,0.8125,0.0149,0.0149,0.0020,0.0149,0.0149,0.0003",1.0
block-words,p02,10,14,4,11,0,1,"1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0","0.0257,0.0257,0.0257,0.0257,0.0699,0.0699,0.0257,0.0699,0.0257,0.0257,0.0257,0.0699,0.0699,0.0699,0.0699,0.0699,0.0257,0.0699,0.0699,0.0699",1.0
block-words,p02,30,14,12,6,0,2,"2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,2","0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.1267,0.1267,0.1267,0.1267,0.0171,0.1267,0.1267,0.0171",1.0
block-words,p02,50,14,12,4,0,3,"3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,2,1,1,2","0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0221,0.0221,0.0221,0.0221,0.0221,0.0221,0.1635,0.1635,0.1635,0.1635,0.0221,0.0601,0.0601,0.0221",1.0
block-words,p02,70,14,12,2,0,5,"4,4,5,5,7,7,6,6,6,4,5,5,0,1,0,1,6,5,5,6","0.0064,0.0064,0.0024,0.0024,0.0003,0.0003,0.0009,0.0009,0.0009,0.0064,0.0024,0.0024,0.3515,0.1293,0.3515,0.1293,0.0009,0.0024,0.0024,0.0009",1.0
block-words,p02,100,14,14,1,1,6,"6,6,6,6,8,8,8,8,8,4,8,8,4,4,0,4,8,6,6,8","0.0023,0.0023,0.0023,0.0023,0.0003,0.0003,0.0003,0.0003,0.0003,0.0168,0.0003,0.0003,0.0168,0.0168,0.9165,0.0168,0.0003,0.0023,0.0023,0.0003",1.0
block-words,p02,10,15,4,11,0,1,"1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0","0.0257,0.0257,0.0257,0.0257,0.0699,0.0699,0.0257,0.0699,0.0257,0.0257,0.0257,0.0699,0.0699,0.0699,0.0699,0.0699,0.0257,0.0699,0.0699,0.0699",1.0
block-words,p02,30,15,12,6,0,2,"2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,2","0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.1267,0.1267,0.1267,0.1267,0.0171,0.1267,0.1267,0.0171",1.0
block-words,p02,50,15,12,4,0,3,"3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,2,1,1,2","0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0221,0.0221,0.0221,0.0221,0.0221,0.0221,0.1635,0.1635,0.1635,0.1635,0.0221,0.0601,0.0601,0.0221",1.0
block-words,p02,70,15,12,2,0,5,"6,4,4,5,6,7,5,5,4,5,4,4,0,1,1,0,4,5,5,4","0.0009,0.0063,0.0063,0.0023,0.0009,0.0003,0.0023,0.0023,0.0063,0.0023,0.0063,0.0063,0.3436,0.1264,0.1264,0.3436,0.0063,0.0023,0.0023,0.0063",1.0
block-words,p02,100,15,12,2,0,6,"8,6,6,6,8,8,8,8,4,8,4,4,0,4,4,0,4,6,6,6","0.0002,0.0012,0.0012,0.0012,0.0002,0.0002,0.0002,0.0002,0.0086,0.0002,0.0086,0.0086,0.4702,0.0086,0.0086,0.4702,0.0086,0.0012,0.0012,0.0012",1.0
block-words,p02,10,16,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227",1.0
block-words,p02,30,16,0,12,0,2,"0,0,0,0,0,0,2,4,4,0,0,0,3,2,3,2,0,0,0,4","0.0796,0.0796,0.0796,0.0796,0.0796,0.0796,0.0108,0.0015,0.0015,0.0796,0.0796,0.0796,0.0040,0.0108,0.0040,0.0108,0.0796,0.0796,0.0796,0.0015",1.0
block-words,p02,50,16,9,4,0,3,"1,1,1,1,1,1,2,4,4,0,0,0,4,2,4,2,0,1,1,4","0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0182,0.0025,0.0025,0.1344,0.1344,0.1344,0.0025,0.0182,0.0025,0.0182,0.1344,0.0494,0.0494,0.0025",1.0
